Loading checkpoint shards: 100%|███████████████████████████████████████████████████████| 4/4 [00:00<00:00, 10.50it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   8%|██▋                                 | 160/2131 [10:28:20<121:24:17, 221.74s/it, loss=0.3494, reward=0.375]
{'step': 60, 'loss': 1.2302594184875488, 'reward_mean': 1.0, 'log_pi_mean': -29.069629669189453, 'log_ref_mean': -29.04147720336914, 'kl_mean': -0.028153181076049805, 'valid_tokens_mean': 285.875, 'advantage_mean': 1.1195603609085083, 'advantage_std': 1.0044206380844116, 'num_tokens': 2287.0, 'policy_loss': 0.09912130981683731, 'value_loss': 2.2622761726379395, 'token_reward_mean': 0.0035472712479531765, 'return_mean': 1.00130033493042, 'grad_norm': 85.1969223022461, 'learning_rate': 5e-06}
{'step': 65, 'loss': 0.8428202867507935, 'reward_mean': 0.75, 'log_pi_mean': -68.26817321777344, 'log_ref_mean': -68.21916198730469, 'kl_mean': -0.04900693893432617, 'valid_tokens_mean': 1133.5, 'advantage_mean': 0.2722293436527252, 'advantage_std': 1.2567909955978394, 'num_tokens': 9068.0, 'policy_loss': 0.016004063189029694, 'value_loss': 1.653632402420044, 'token_reward_mean': 0.0006832844228483737, 'return_mean': 0.45160606503486633, 'grad_norm': 64.0545425415039, 'learning_rate': 5e-06}
{'step': 70, 'loss': 1.1381118297576904, 'reward_mean': 0.875, 'log_pi_mean': -50.842098236083984, 'log_ref_mean': -50.725311279296875, 'kl_mean': -0.11678934097290039, 'valid_tokens_mean': 275.125, 'advantage_mean': -0.9325044751167297, 'advantage_std': 1.3395217657089233, 'num_tokens': 2201.0, 'policy_loss': -0.19382981956005096, 'value_loss': 2.6638832092285156, 'token_reward_mean': 0.0033926230389624834, 'return_mean': 0.8338475227355957, 'grad_norm': 83.37517547607422, 'learning_rate': 5e-06}
{'step': 75, 'loss': 0.7373780608177185, 'reward_mean': 0.0, 'log_pi_mean': -84.17625427246094, 'log_ref_mean': -84.08870697021484, 'kl_mean': -0.0875391960144043, 'valid_tokens_mean': 739.5, 'advantage_mean': -0.3079015016555786, 'advantage_std': 1.188278079032898, 'num_tokens': 5916.0, 'policy_loss': -0.016025831922888756, 'value_loss': 1.506807804107666, 'token_reward_mean': 5.918956230743788e-05, 'return_mean': 0.006452341563999653, 'grad_norm': 26.91508674621582, 'learning_rate': 5e-06}
{'step': 80, 'loss': 1.1750164031982422, 'reward_mean': 1.0, 'log_pi_mean': -53.54020309448242, 'log_ref_mean': -53.511558532714844, 'kl_mean': -0.028647422790527344, 'valid_tokens_mean': 548.125, 'advantage_mean': 0.7244961857795715, 'advantage_std': 1.2918652296066284, 'num_tokens': 4385.0, 'policy_loss': 0.07811112701892853, 'value_loss': 2.19381046295166, 'token_reward_mean': 0.0018505341140553355, 'return_mean': 0.9886114001274109, 'grad_norm': 21.128564834594727, 'learning_rate': 5e-06}
{'step': 85, 'loss': 0.6677286624908447, 'reward_mean': 0.625, 'log_pi_mean': -51.97358322143555, 'log_ref_mean': -51.86395263671875, 'kl_mean': -0.10962724685668945, 'valid_tokens_mean': 320.375, 'advantage_mean': -0.27164480090141296, 'advantage_std': 1.1902246475219727, 'num_tokens': 2563.0, 'policy_loss': -0.07748422026634216, 'value_loss': 1.490425705909729, 'token_reward_mean': 0.002121930243447423, 'return_mean': 0.6711704134941101, 'grad_norm': 56.52035140991211, 'learning_rate': 5e-06}
{'step': 90, 'loss': 0.45144447684288025, 'reward_mean': 0.0, 'log_pi_mean': -97.63603973388672, 'log_ref_mean': -97.53797912597656, 'kl_mean': -0.09805965423583984, 'valid_tokens_mean': 1032.75, 'advantage_mean': -0.1871308982372284, 'advantage_std': 0.943937361240387, 'num_tokens': 8262.0, 'policy_loss': -0.011573412455618382, 'value_loss': 0.9260357618331909, 'token_reward_mean': 4.747274215333164e-05, 'return_mean': 0.013311635702848434, 'grad_norm': 22.23015594482422, 'learning_rate': 5e-06}
{'step': 95, 'loss': 0.45087552070617676, 'reward_mean': 0.875, 'log_pi_mean': -42.01704788208008, 'log_ref_mean': -41.95093536376953, 'kl_mean': -0.0661160945892334, 'valid_tokens_mean': 547.625, 'advantage_mean': 0.22288720309734344, 'advantage_std': 0.8906572461128235, 'num_tokens': 4381.0, 'policy_loss': 0.0294010192155838, 'value_loss': 0.8429489731788635, 'token_reward_mean': 0.0016581743257120252, 'return_mean': 0.9541704654693604, 'grad_norm': 21.99544906616211, 'learning_rate': 5e-06}
{'step': 100, 'loss': 0.5855085849761963, 'reward_mean': 0.875, 'log_pi_mean': -59.8070182800293, 'log_ref_mean': -59.75963592529297, 'kl_mean': -0.04738616943359375, 'valid_tokens_mean': 496.375, 'advantage_mean': 0.525367259979248, 'advantage_std': 0.8779433369636536, 'num_tokens': 3971.0, 'policy_loss': 0.06211099028587341, 'value_loss': 1.046795129776001, 'token_reward_mean': 0.0018105115741491318, 'return_mean': 0.8897325992584229, 'grad_norm': 36.610286712646484, 'learning_rate': 5e-06}
{'step': 105, 'loss': 0.5382581949234009, 'reward_mean': 0.25, 'log_pi_mean': -31.315444946289062, 'log_ref_mean': -31.23209571838379, 'kl_mean': -0.08335161209106445, 'valid_tokens_mean': 258.0, 'advantage_mean': -0.2713030278682709, 'advantage_std': 1.0290976762771606, 'num_tokens': 2064.0, 'policy_loss': -0.02806551195681095, 'value_loss': 1.1326473951339722, 'token_reward_mean': 0.0011305244406685233, 'return_mean': 0.2431812733411789, 'grad_norm': 24.650238037109375, 'learning_rate': 5e-06}
{'step': 110, 'loss': 0.5426414012908936, 'reward_mean': 0.875, 'log_pi_mean': -57.26781463623047, 'log_ref_mean': -57.229122161865234, 'kl_mean': -0.03869485855102539, 'valid_tokens_mean': 616.25, 'advantage_mean': 0.46696293354034424, 'advantage_std': 0.9034745097160339, 'num_tokens': 4930.0, 'policy_loss': 0.025481097400188446, 'value_loss': 1.034320592880249, 'token_reward_mean': 0.0014512729831039906, 'return_mean': 0.952960193157196, 'grad_norm': 19.670330047607422, 'learning_rate': 5e-06}
{'step': 115, 'loss': 0.5115816593170166, 'reward_mean': 0.0, 'log_pi_mean': -95.75141906738281, 'log_ref_mean': -95.63385009765625, 'kl_mean': -0.11756563186645508, 'valid_tokens_mean': 1928.75, 'advantage_mean': -0.6938197612762451, 'advantage_std': 0.7872726321220398, 'num_tokens': 15430.0, 'policy_loss': -0.03901052474975586, 'value_loss': 1.101184368133545, 'token_reward_mean': 3.047713835258037e-05, 'return_mean': 0.024060925468802452, 'grad_norm': 69.33001708984375, 'learning_rate': 5e-06}
{'step': 120, 'loss': 0.3390468657016754, 'reward_mean': 0.75, 'log_pi_mean': -52.65663146972656, 'log_ref_mean': -52.60301971435547, 'kl_mean': -0.05361318588256836, 'valid_tokens_mean': 522.375, 'advantage_mean': -0.06427771598100662, 'advantage_std': 0.8613294959068298, 'num_tokens': 4179.0, 'policy_loss': -0.03396321088075638, 'value_loss': 0.7460201382637024, 'token_reward_mean': 0.0014870655722916126, 'return_mean': 0.8166632056236267, 'grad_norm': 49.991455078125, 'learning_rate': 5e-06}
