Loading checkpoint shards: 100%|████████████████████████████████████████| 4/4 [00:00<00:00, 10.65it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   4%|█▏                              | 160/4262 [05:24<2:19:34,  2.04s/it, loss=40.83, reward=1]
{'step': 60, 'loss': 19.272499084472656, 'reward_mean': 1.0, 'log_pi_mean': -17.46074104309082, 'log_ref_mean': -1.6604055166244507, 'kl_mean': -15.800335884094238, 'valid_tokens_mean': 3.0, 'advantage_mean': 0.879209041595459, 'advantage_std': 3.1363632678985596, 'num_tokens': 24.0, 'policy_loss': 13.967607498168945, 'value_loss': 10.609783172607422, 'token_reward_mean': 2.9667224884033203, 'return_mean': 6.784877300262451, 'grad_norm': 736.5975341796875, 'learning_rate': 5e-06}
{'step': 65, 'loss': -5.0119428634643555, 'reward_mean': 0.0, 'log_pi_mean': -19.486286163330078, 'log_ref_mean': -11.911415100097656, 'kl_mean': -7.574870586395264, 'valid_tokens_mean': 3.0, 'advantage_mean': -1.4188077449798584, 'advantage_std': 1.717505693435669, 'num_tokens': 9.0, 'policy_loss': -7.493363380432129, 'value_loss': 4.962841510772705, 'token_reward_mean': 1.2624783515930176, 'return_mean': 2.718205690383911, 'grad_norm': 420.00469970703125, 'learning_rate': 5e-06}
{'step': 70, 'loss': -2.0780622959136963, 'reward_mean': 0.2857142984867096, 'log_pi_mean': -14.143433570861816, 'log_ref_mean': -5.536860466003418, 'kl_mean': -8.606573104858398, 'valid_tokens_mean': 1.7142858505249023, 'advantage_mean': -1.0835212469100952, 'advantage_std': 2.136876344680786, 'num_tokens': 12.0, 'policy_loss': -4.9481916427612305, 'value_loss': 5.740258693695068, 'token_reward_mean': 2.6769168376922607, 'return_mean': 4.6347880363464355, 'grad_norm': 1352.1318359375, 'learning_rate': 5e-06}
{'step': 75, 'loss': 4.198599338531494, 'reward_mean': 1.0, 'log_pi_mean': -22.186384201049805, 'log_ref_mean': -7.829587936401367, 'kl_mean': -14.356796264648438, 'valid_tokens_mean': 3.0, 'advantage_mean': -1.268419623374939, 'advantage_std': 2.7236597537994385, 'num_tokens': 24.0, 'policy_loss': -0.315006822347641, 'value_loss': 9.027212142944336, 'token_reward_mean': 2.726132869720459, 'return_mean': 4.816353797912598, 'grad_norm': 804.3380737304688, 'learning_rate': 5e-06}
{'step': 80, 'loss': 0.8129358291625977, 'reward_mean': 0.7142857313156128, 'log_pi_mean': -22.07268714904785, 'log_ref_mean': -8.296600341796875, 'kl_mean': -13.776086807250977, 'valid_tokens_mean': 5.5714287757873535, 'advantage_mean': -1.491477370262146, 'advantage_std': 2.608675956726074, 'num_tokens': 39.0, 'policy_loss': -3.701911449432373, 'value_loss': 9.029694557189941, 'token_reward_mean': 1.3645204305648804, 'return_mean': 5.778205871582031, 'grad_norm': 670.7011108398438, 'learning_rate': 5e-06}
{'step': 85, 'loss': 22.03978729248047, 'reward_mean': 0.625, 'log_pi_mean': -28.28626251220703, 'log_ref_mean': -12.802848815917969, 'kl_mean': -15.48341178894043, 'valid_tokens_mean': 3.125, 'advantage_mean': 1.587178111076355, 'advantage_std': 2.0175395011901855, 'num_tokens': 25.0, 'policy_loss': 18.74498748779297, 'value_loss': 6.589600086212158, 'token_reward_mean': 2.6773462295532227, 'return_mean': 5.575262546539307, 'grad_norm': 947.351318359375, 'learning_rate': 5e-06}
{'step': 90, 'loss': -5.35148811340332, 'reward_mean': 0.875, 'log_pi_mean': -5.300149440765381, 'log_ref_mean': -2.34005069732666, 'kl_mean': -2.9600987434387207, 'valid_tokens_mean': 1.0, 'advantage_mean': -1.4830546379089355, 'advantage_std': 1.0961289405822754, 'num_tokens': 8.0, 'policy_loss': -7.051962852478027, 'value_loss': 3.400949478149414, 'token_reward_mean': 2.3550493717193604, 'return_mean': 2.3550493717193604, 'grad_norm': 2097.462890625, 'learning_rate': 5e-06}
{'step': 95, 'loss': 75644.9765625, 'reward_mean': 0.0, 'log_pi_mean': -192.15599060058594, 'log_ref_mean': -26.12057876586914, 'kl_mean': -166.03541564941406, 'valid_tokens_mean': 18.25, 'advantage_mean': 320.6434631347656, 'advantage_std': 204.8800811767578, 'num_tokens': 146.0, 'policy_loss': 3250.955322265625, 'value_loss': 144788.046875, 'token_reward_mean': 4.548915386199951, 'return_mean': 324.6729431152344, 'grad_norm': 9270.6591796875, 'learning_rate': 5e-06}
{'step': 100, 'loss': -41.63793182373047, 'reward_mean': 0.0, 'log_pi_mean': -19.861289978027344, 'log_ref_mean': -10.398879051208496, 'kl_mean': -9.462411880493164, 'valid_tokens_mean': 1.75, 'advantage_mean': -4.278636932373047, 'advantage_std': 0.8101025223731995, 'num_tokens': 7.0, 'policy_loss': -51.11943054199219, 'value_loss': 18.963001251220703, 'token_reward_mean': 2.7035462856292725, 'return_mean': 4.374207973480225, 'grad_norm': 1290.753173828125, 'learning_rate': 5e-06}
{'step': 105, 'loss': 3.7038493156433105, 'reward_mean': 0.0, 'log_pi_mean': -17.06691551208496, 'log_ref_mean': -5.57500696182251, 'kl_mean': -11.49190902709961, 'valid_tokens_mean': 2.7142858505249023, 'advantage_mean': -2.079035758972168, 'advantage_std': 3.226762056350708, 'num_tokens': 19.0, 'policy_loss': -3.6633405685424805, 'value_loss': 14.734379768371582, 'token_reward_mean': 2.1169300079345703, 'return_mean': 3.7555277347564697, 'grad_norm': 674.4769897460938, 'learning_rate': 5e-06}
