Loading checkpoint shards: 100%|████████████████████████████████████████| 4/4 [00:00<00:00, 10.69it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   4%|█▏                              | 160/4262 [05:25<2:18:11,  2.02s/it, loss=299.5, reward=1]
{'step': 75, 'loss': 318.9338684082031, 'reward_mean': 1.0, 'log_pi_mean': -243.2247772216797, 'log_ref_mean': -7.829587936401367, 'kl_mean': -235.3951873779297, 'valid_tokens_mean': 3.0, 'advantage_mean': 1.3077564239501953, 'advantage_std': 0.0, 'policy_loss': 318.0787658691406, 'value_loss': 1.7102268934249878, 'grad_norm': 45859.65625, 'learning_rate': 5e-05}
{'step': 80, 'loss': -2212.527099609375, 'reward_mean': 0.7142857313156128, 'log_pi_mean': -176.15855407714844, 'log_ref_mean': -8.296600341796875, 'kl_mean': -167.86196899414062, 'valid_tokens_mean': 5.5714287757873535, 'advantage_mean': -12.773955345153809, 'advantage_std': 4.125768184661865, 'policy_loss': -2302.625, 'value_loss': 180.19589233398438, 'grad_norm': 112708.1328125, 'learning_rate': 5e-05}
{'step': 85, 'loss': 2465.8095703125, 'reward_mean': 0.625, 'log_pi_mean': -256.3997802734375, 'log_ref_mean': -12.802848815917969, 'kl_mean': -243.596923828125, 'valid_tokens_mean': 3.125, 'advantage_mean': 9.19051742553711, 'advantage_std': 1.7446010112762451, 'policy_loss': 2422.054931640625, 'value_loss': 87.50924682617188, 'grad_norm': 103354.9375, 'learning_rate': 5e-05}
{'step': 90, 'loss': -319.29327392578125, 'reward_mean': 0.875, 'log_pi_mean': -37.77550506591797, 'log_ref_mean': -2.34005069732666, 'kl_mean': -35.43545913696289, 'valid_tokens_mean': 1.0, 'advantage_mean': -9.683244705200195, 'advantage_std': 0.05960574001073837, 'policy_loss': -366.17767333984375, 'value_loss': 93.76878356933594, 'grad_norm': 58742.80859375, 'learning_rate': 5e-05}
{'step': 95, 'loss': 8058190.0, 'reward_mean': 0.0, 'log_pi_mean': -3243.137451171875, 'log_ref_mean': -26.12057876586914, 'kl_mean': -3217.016845703125, 'valid_tokens_mean': 18.25, 'advantage_mean': 304.6541442871094, 'advantage_std': 815.7654418945312, 'policy_loss': 7679046.5, 'value_loss': 758287.4375, 'grad_norm': 10326300.0, 'learning_rate': 5e-05}
{'step': 100, 'loss': -268.12078857421875, 'reward_mean': 0.0, 'log_pi_mean': -139.94264221191406, 'log_ref_mean': -10.398879051208496, 'kl_mean': -129.54376220703125, 'valid_tokens_mean': 1.75, 'advantage_mean': -5.219737529754639, 'advantage_std': 5.374963760375977, 'policy_loss': -296.188720703125, 'value_loss': 56.13589096069336, 'grad_norm': 27849.849609375, 'learning_rate': 5e-05}
{'step': 105, 'loss': 1174.493896484375, 'reward_mean': 0.0, 'log_pi_mean': -170.64939880371094, 'log_ref_mean': -5.57500696182251, 'kl_mean': -165.07440185546875, 'valid_tokens_mean': 2.7142858505249023, 'advantage_mean': 1.5861942768096924, 'advantage_std': 9.13179874420166, 'policy_loss': 1131.541015625, 'value_loss': 85.90576934814453, 'grad_norm': 57335.69140625, 'learning_rate': 5e-05}
{'step': 110, 'loss': 291.2254333496094, 'reward_mean': 0.625, 'log_pi_mean': -44.050968170166016, 'log_ref_mean': -6.519333839416504, 'kl_mean': -37.53163146972656, 'valid_tokens_mean': 1.125, 'advantage_mean': -2.737598419189453, 'advantage_std': 5.248256206512451, 'policy_loss': 273.70611572265625, 'value_loss': 35.03863525390625, 'grad_norm': 19701.705078125, 'learning_rate': 5e-05}
{'step': 115, 'loss': 3761.66259765625, 'reward_mean': 1.0, 'log_pi_mean': -260.62628173828125, 'log_ref_mean': -1.2182430028915405, 'kl_mean': -259.4080505371094, 'valid_tokens_mean': 1.0, 'advantage_mean': 14.054230690002441, 'advantage_std': 0.0, 'policy_loss': 3662.90185546875, 'value_loss': 197.52139282226562, 'grad_norm': 139281.125, 'learning_rate': 5e-05}
{'step': 120, 'loss': 128.1985321044922, 'reward_mean': 1.0, 'log_pi_mean': 0.0, 'log_ref_mean': -10.846027374267578, 'kl_mean': 10.846027374267578, 'valid_tokens_mean': 2.0, 'advantage_mean': -16.01240348815918, 'advantage_std': 0.0, 'policy_loss': -0.0, 'value_loss': 256.3970642089844, 'grad_norm': 72351.8203125, 'learning_rate': 5e-05}
{'step': 125, 'loss': 71486.5625, 'reward_mean': 0.0, 'log_pi_mean': -434.7772216796875, 'log_ref_mean': -10.752068519592285, 'kl_mean': -424.02508544921875, 'valid_tokens_mean': 6.142857551574707, 'advantage_mean': 18.49781608581543, 'advantage_std': 75.58396911621094, 'policy_loss': 68459.0078125, 'value_loss': 6055.1064453125, 'grad_norm': 374294.90625, 'learning_rate': 5e-05}
{'step': 130, 'loss': 97.54918670654297, 'reward_mean': 1.0, 'log_pi_mean': -312.5701904296875, 'log_ref_mean': -9.412071228027344, 'kl_mean': -303.15814208984375, 'valid_tokens_mean': 4.0, 'advantage_mean': 0.3119316101074219, 'advantage_std': 0.0, 'policy_loss': 97.50053405761719, 'value_loss': 0.09730132669210434, 'grad_norm': 180576.15625, 'learning_rate': 5e-05}
